iter	Passed	Remaining
148	1104	6309
149	1111	6300
150	1116	6277
151	1124	6274
152	1133	6272
153	1149	6312
154	1155	6297
155	1166	6310
156	1180	6338
157	1188	6334
158	1194	6318
159	1203	6320
160	1211	6313
161	1225	6339
162	1233	6331
163	1260	6426
164	1277	6467
165	1308	6573
166	1329	6629
167	1359	6735
168	1378	6780
169	1395	6811
170	1403	6803
171	1413	6804
172	1425	6815
173	1434	6811
174	1452	6846
175	1467	6869
176	1477	6867
177	1499	6923
178	1517	6961
179	1520	6926
180	1550	7015
181	1573	7071
182	1576	7038
183	1583	7023
184	1592	7016
185	1601	7009
186	1622	7053
187	1648	7119
188	1667	7154
189	1670	7120
190	1673	7090
191	1678	7065
192	1682	7035
193	1688	7014
194	1690	6980
195	1698	6966
196	1701	6934
197	1708	6919
198	1712	6891
199	1715	6860
200	1718	6832
201	1722	6804
202	1725	6773
203	1734	6767
204	1737	6737
205	1740	6708
206	1749	6701
207	1752	6673
208	1759	6658
209	1762	6629
210	1766	6604
211	1770	6579
212	1773	6552
213	1783	6551
214	1786	6524
215	1797	6523
216	1800	6497
217	1808	6488
218	1812	6463
219	1834	6504
220	1858	6551
221	1864	6534
222	1870	6518
223	1878	6506
224	1882	6484
225	1885	6458
226	1892	6444
227	1896	6420
228	1900	6399
229	1903	6372
230	1909	6355
231	1916	6345
232	1922	6329
233	1926	6305
234	1930	6284
235	1936	6268
236	1953	6289
237	1956	6265
238	1960	6243
239	1965	6223
240	1971	6207
241	1974	6185
242	1985	6185
243	1989	6164
244	1994	6146
245	1999	6127
246	2007	6120
247	2011	6098
248	2030	6123
249	2034	6104
250	2054	6130
251	2060	6117
252	2073	6122
253	2080	6109
254	2095	6121
255	2122	6167
256	2125	6144
257	2135	6140
258	2139	6120
259	2149	6118
260	2172	6150
261	2176	6131
262	2180	6109
263	2184	6091
264	2188	6070
265	2192	6050
266	2196	6028
267	2199	6007
268	2203	5987
269	2207	5968
270	2215	5959
271	2218	5938
272	2223	5921
273	2227	5901
274	2231	5883
275	2247	5895
276	2259	5897
277	2262	5876
278	2268	5863
279	2272	5844
280	2277	5828
281	2281	5808
282	2290	5803
283	2294	5784
284	2308	5791
285	2312	5772
286	2319	5763
287	2323	5744
288	2334	5743
289	2338	5725
290	2344	5711
291	2347	5692
292	2352	5675
293	2356	5658
294	2365	5653
295	2370	5638
296	2378	5629
297	2382	5612
298	2389	5601
299	2393	5584
300	2402	5578
301	2405	5559
302	2408	5541
303	2413	5525
304	2418	5510
305	2424	5499
306	2429	5483
307	2433	5466
308	2438	5453
309	2445	5444
310	2452	5433
311	2456	5416
312	2460	5401
313	2470	5397
314	2473	5378
315	2481	5371
316	2485	5355
317	2489	5339
318	2494	5325
319	2499	5310
320	2505	5300
321	2510	5285
322	2514	5271
323	2520	5259
324	2523	5241
325	2535	5243
326	2539	5227
327	2546	5217
328	2551	5202
329	2554	5185
330	2560	5175
331	2565	5160
332	2569	5147
333	2573	5132
334	2580	5123
335	2587	5112
336	2590	5096
337	2593	5079
338	2597	5064
339	2601	5050
340	2606	5036
341	2611	5024
342	2615	5010
343	2622	5000
344	2626	4986
345	2633	4977
346	2636	4961
347	2643	4951
348	2646	4937
349	2655	4931
350	2659	4917
351	2670	4915
352	2674	4902
353	2683	4896
354	2688	4883
355	2692	4871
356	2695	4854
357	2700	4842
358	2706	4832
359	2710	4818
360	2723	4820
361	2771	4884
362	2782	4882
363	2786	4869
364	2792	4857
365	2796	4844
366	2802	4834
367	2806	4820
368	2813	4811
369	2831	4821
370	2843	4820
371	2853	4816
372	2860	4808
373	2864	4794
374	2867	4779
375	2873	4768
376	2880	4760
377	2884	4746
378	2893	4741
379	2896	4726
380	2899	4711
381	2904	4699
382	2917	4700
383	2921	4685
384	2930	4681
385	2934	4667
386	2945	4665
387	2948	4651
388	2953	4639
389	2967	4640
390	2972	4630
391	2978	4619
392	2996	4627
393	3005	4622
394	3009	4608
395	3016	4601
396	3020	4588
397	3032	4586
398	3062	4612
399	3066	4599
400	3075	4593
401	3080	4582
402	3083	4567
403	3088	4556
404	3102	4558
405	3107	4546
406	3119	4544
407	3130	4542
408	3147	4548
409	3159	4546
410	3164	4535
411	3169	4523
412	3189	4533
413	3199	4529
414	3204	4517
415	3209	4506
416	3213	4493
417	3216	4479
418	3222	4468
419	3230	4460
420	3234	4448
421	3237	4434
422	3241	4421
423	3244	4407
424	3248	4395
425	3255	4386
426	3259	4373
427	3265	4363
428	3274	4358
429	3288	4358
430	3292	4347
431	3309	4350
432	3315	4341
433	3322	4332
434	3330	4326
435	3342	4324
436	3346	4311
437	3357	4308
438	3360	4294
439	3375	4295
440	3381	4286
441	3389	4279
442	3392	4264
443	3394	4251
444	3400	4241
445	3403	4228
446	3407	4215
447	3411	4203
448	3414	4190
449	3417	4177
450	3423	4167
451	3431	4159
452	3435	4147
453	3448	4147
454	3454	4137
455	3457	4124
456	3462	4114
457	3465	4101
458	3482	4104
459	3492	4099
460	3496	4088
461	3506	4083
462	3527	4091
463	3544	4094
464	3555	4090
465	3564	4084
466	3572	4076
467	3579	4069
468	3587	4062
469	3624	4087
470	3628	4074
471	3637	4068
472	3640	4055
473	3653	4054
474	3666	4052
475	3670	4040
476	3675	4030
477	3683	4022
478	3693	4017
479	3697	4005
480	3705	3998
481	3710	3987
482	3714	3976
483	3720	3966
484	3726	3956
485	3729	3944
486	3732	3931
487	3748	3932
488	3753	3921
489	3757	3910
490	3762	3900
491	3766	3888
492	3771	3878
493	3775	3866
494	3778	3854
495	3782	3843
496	3788	3834
497	3791	3821
498	3798	3813
499	3801	3801
500	3804	3789
501	3808	3778
502	3812	3766
503	3815	3754
504	3823	3747
505	3826	3735
506	3831	3725
507	3834	3713
508	3837	3702
509	3843	3692
510	3846	3680
511	3851	3670
512	3856	3661
513	3862	3652
514	3871	3646
515	3877	3637
516	3882	3626
517	3885	3615
518	3890	3605
519	3894	3595
520	3898	3584
521	3903	3574
522	3906	3563
523	3913	3554
524	3917	3544
525	3924	3536
526	3927	3524
527	3931	3514
528	3936	3505
529	3939	3493
530	3942	3482
531	3953	3478
532	3956	3466
533	3960	3455
534	3964	3446
535	3973	3440
536	3976	3428
537	3982	3420
538	3987	3410
539	3993	3401
540	3998	3392
541	4003	3382
542	4006	3371
543	4010	3362
544	4033	3367
545	4053	3370
546	4058	3361
547	4068	3355
548	4071	3345
549	4077	3336
550	4080	3325
551	4083	3314
552	4089	3305
553	4095	3296
554	4099	3287
555	4103	3277
556	4107	3266
557	4116	3260
558	4120	3250
559	4126	3242
560	4131	3232
561	4138	3225
562	4141	3214
563	4144	3204
564	4152	3196
565	4158	3188
566	4166	3182
567	4171	3172
568	4178	3164
569	4185	3157
570	4188	3146
571	4193	3138
572	4196	3127
573	4201	3118
574	4208	3110
575	4211	3100
576	4215	3090
577	4237	3093
578	4240	3083
579	4244	3073
580	4247	3063
581	4250	3052
582	4253	3042
583	4257	3032
584	4263	3024
585	4267	3014
586	4270	3004
587	4277	2996
588	4280	2986
589	4289	2980
590	4300	2976
591	4314	2973
592	4326	2969
593	4334	2962
594	4344	2957
595	4351	2949
596	4358	2942
597	4367	2935
598	4369	2925
599	4422	2948
600	4442	2949
601	4453	2944
602	4468	2941
603	4484	2940
604	4510	2944
605	4536	2949
606	4554	2948
607	4571	2947
608	4578	2939
609	4586	2932
610	4593	2924
611	4596	2914
612	4602	2905
613	4607	2896
614	4638	2903
615	4648	2897
616	4661	2893
617	4667	2884
618	4682	2882
619	4689	2874
620	4692	2863
621	4695	2853
622	4699	2843
623	4703	2833
624	4705	2823
625	4712	2815
626	4715	2805
627	4719	2795
628	4726	2788
629	4737	2782
630	4746	2775
631	4751	2766
632	4754	2756
633	4759	2747
634	4764	2738
635	4768	2729
636	4773	2720
637	4777	2710
638	4793	2708
639	4800	2700
640	4812	2695
641	4820	2688
642	4834	2683
643	4837	2674
644	4845	2666
645	4848	2657
646	4861	2652
647	4865	2642
648	4871	2634
649	4874	2624
650	4878	2615
651	4881	2605
652	4890	2598
653	4894	2589
654	4898	2580
655	4905	2572
656	4912	2564
657	4917	2555
658	4929	2550
659	4932	2541
660	4946	2536
661	4951	2527
662	4955	2518
663	4958	2509
664	4964	2500
665	4966	2490
666	4974	2483
667	4976	2473
668	4981	2464
669	4985	2455
670	4988	2445
671	4998	2439
672	5010	2434
673	5013	2425
674	5019	2416
675	5024	2408
676	5028	2399
677	5034	2390
678	5038	2381
679	5043	2373
680	5048	2364
681	5052	2355
682	5055	2346
683	5058	2336
684	5062	2327
685	5068	2319
686	5072	2310
687	5080	2303
688	5086	2296
689	5092	2287
690	5096	2278
691	5100	2270
692	5108	2263
693	5112	2254
694	5135	2253
695	5151	2250
696	5175	2250
697	5181	2241
698	5184	2232
699	5187	2223
700	5190	2214
701	5194	2205
702	5198	2196
703	5206	2188
704	5212	2181
705	5218	2173
706	5234	2169
707	5243	2162
708	5247	2153
709	5257	2147
710	5267	2141
711	5285	2138
712	5295	2131
713	5300	2123
714	5319	2120
715	5325	2112
716	5336	2106
717	5341	2097
718	5344	2088
719	5349	2080
720	5352	2071
721	5362	2064
722	5365	2055
723	5377	2050
724	5381	2041
725	5408	2041
726	5413	2033
727	5424	2026
728	5441	2022
729	5448	2015
730	5451	2006
731	5455	1997
732	5465	1990
733	5471	1982
734	5475	1974
735	5485	1967
736	5489	1958
737	5496	1951
738	5499	1942
739	5512	1936
740	5519	1929
741	5523	1920
742	5526	1911
743	5531	1903
744	5534	1894
745	5550	1889
746	5562	1884
747	5574	1877
748	5576	1868
749	5581	1860
750	5584	1851
751	5589	1843
752	5597	1836
753	5604	1828
754	5616	1822
755	5625	1815
756	5637	1809
757	5642	1801
758	5652	1794
759	5668	1790
760	5682	1784
761	5689	1777
762	5697	1769
763	5703	1761
764	5709	1753
765	5717	1746
766	5723	1738
767	5736	1732
768	5741	1724
769	5744	1715
770	5748	1707
771	5752	1698
772	5756	1690
773	5778	1687
774	5784	1679
775	5790	1671
776	5793	1662
777	5797	1654
778	5802	1646
779	5808	1638
780	5812	1629
781	5819	1622
782	5825	1614
783	5830	1606
784	5832	1597
785	5839	1589
786	5843	1581
787	5847	1573
788	5854	1565
789	5856	1556
790	5862	1549
791	5865	1540
792	5875	1533
793	5878	1525
794	5886	1517
795	5891	1509
796	5895	1501
797	5901	1493
798	5904	1485
799	5908	1477
800	5916	1469
801	5923	1462
802	5926	1453
803	5929	1445
804	5934	1437
805	5941	1430
806	5951	1423
807	5959	1416
808	5964	1408
809	5975	1401
810	5980	1393
811	5983	1385
812	5987	1377
813	5989	1368
814	5993	1360
815	5999	1352
816	6003	1344
817	6009	1337
818	6016	1329
819	6018	1321
820	6023	1313
821	6026	1304
822	6029	1296
823	6035	1289
824	6038	1280
825	6041	1272
826	6047	1265
827	6054	1257
828	6057	1249
829	6061	1241
830	6066	1233
831	6071	1225
832	6074	1217
833	6082	1210
834	6088	1203
835	6096	1196
836	6111	1190
837	6121	1183
838	6128	1176
839	6132	1168
840	6137	1160
841	6148	1153
842	6167	1148
843	6176	1141
844	6180	1133
845	6188	1126
846	6193	1118
847	6198	1111
848	6202	1103
849	6209	1095
850	6234	1091
851	6251	1085
852	6269	1080
853	6281	1073
854	6297	1067
855	6328	1064
856	6355	1060
857	6369	1054
858	6385	1048
859	6388	1040
860	6397	1032
861	6399	1024
862	6402	1016
863	6405	1008
864	6408	1000
865	6411	992
866	6415	984
867	6419	976
868	6424	968
869	6430	960
870	6434	953
871	6440	945
872	6444	937
873	6454	930
874	6458	922
875	6463	914
876	6469	907
877	6474	899
878	6476	891
879	6480	883
880	6483	875
881	6487	867
882	6491	860
883	6494	852
884	6499	844
885	6512	837
886	6516	830
887	6519	822
888	6524	814
889	6528	806
890	6531	799
891	6537	791
892	6542	783
893	6545	776
894	6552	768
895	6557	761
896	6564	753
897	6572	746
898	6580	739
899	6588	732
900	6594	724
901	6603	717
902	6609	710
903	6618	702
904	6623	695
905	6631	688
906	6638	680
907	6647	673
908	6653	666
909	6665	659
910	6669	651
911	6674	644
912	6677	636
913	6681	628
914	6685	621
915	6689	613
916	6696	606
917	6701	598
918	6703	590
919	6708	583
920	6711	575
921	6715	568
922	6718	560
923	6722	552
924	6725	545
925	6729	537
926	6733	530
927	6737	522
928	6741	515
929	6747	507
930	6758	500
931	6763	493
932	6772	486
933	6781	479
934	6786	471
935	6790	464
936	6800	457
937	6817	450
938	6828	443
939	6837	436
940	6846	429
941	6862	422
942	6871	415
943	6884	408
944	6889	400
945	6910	394
946	6914	386
947	6923	379
948	6930	372
949	6939	365
950	6947	357
951	6963	351
952	6976	344
953	7007	337
954	7016	330
955	7022	323
956	7025	315
957	7030	308
958	7033	300
959	7037	293
960	7041	285
961	7059	278
962	7074	271
963	7083	264
964	7091	257
965	7113	250
966	7117	242
967	7128	235
968	7132	228
969	7137	220
970	7141	213
971	7145	205
972	7148	198
973	7155	191
974	7158	183
975	7162	176
976	7167	168
977	7175	161
978	7180	154
979	7185	146
980	7190	139
981	7193	131
982	7199	124
983	7202	117
984	7208	109
985	7212	102
986	7222	95
987	7225	87
988	7241	80
989	7251	73
990	7256	65
991	7264	58
992	7270	51
993	7284	43
994	7293	36
995	7305	29
996	7321	22
997	7333	14
998	7349	7
999	7357	0
