iter	RMSE
194	2148.510506
195	2146.613793
196	2144.458515
197	2143.128696
198	2140.231099
199	2138.004693
200	2136.391719
201	2135.080663
202	2132.758279
203	2129.732336
204	2128.138199
205	2126.492714
206	2123.812815
207	2122.243505
208	2119.516878
209	2118.101603
210	2116.483093
211	2115.155976
212	2113.690284
213	2111.713674
214	2108.532141
215	2106.510944
216	2104.084968
217	2102.69493
218	2100.842984
219	2099.679397
220	2097.603092
221	2096.410667
222	2094.406568
223	2093.524427
224	2092.332595
225	2089.527757
226	2087.462506
227	2086.154947
228	2085.058575
229	2083.084191
230	2081.740481
231	2078.772388
232	2076.922937
233	2075.46632
234	2072.62149
235	2068.544469
236	2066.428517
237	2064.998623
238	2063.472078
239	2062.252635
240	2060.147773
241	2057.906468
242	2055.160555
243	2052.974532
244	2048.645695
245	2047.193953
246	2043.81788
247	2042.620651
248	2041.162442
249	2039.915058
250	2038.007521
251	2036.656255
252	2035.148778
253	2034.046802
254	2032.369077
255	2030.627662
256	2028.85307
257	2026.726808
258	2025.277696
259	2024.213432
260	2021.887524
261	2020.391445
262	2019.209113
263	2016.55486
264	2015.027205
265	2012.225865
266	2009.588871
267	2008.368387
268	2006.962343
269	2002.71232
270	2000.089982
271	1998.331331
272	1996.146851
273	1995.113539
274	1992.350443
275	1991.175054
276	1989.506719
277	1988.256247
278	1985.890134
279	1985.050213
280	1983.485089
281	1981.988662
282	1980.708534
283	1979.660248
284	1978.54948
285	1977.384186
286	1976.134683
287	1974.598298
288	1971.180594
289	1970.156338
290	1968.785114
291	1967.828545
292	1964.801704
293	1963.855797
294	1962.142344
295	1961.088924
296	1960.061807
297	1958.743253
298	1955.540767
299	1954.454151
300	1952.217369
301	1950.997958
302	1950.083597
303	1949.155282
304	1947.562416
305	1946.265867
306	1945.372665
307	1944.044219
308	1942.501868
309	1941.289669
310	1939.864125
311	1938.937306
312	1936.661587
313	1935.319042
314	1934.474477
315	1931.352367
316	1930.191998
317	1927.248407
318	1925.397323
319	1924.624499
320	1923.601664
321	1922.874741
322	1921.842178
323	1920.759345
324	1919.68921
325	1918.369375
326	1917.248256
327	1914.879996
328	1913.294823
329	1912.30781
330	1911.279657
331	1910.558364
332	1909.697308
333	1908.260787
334	1906.605197
335	1904.977589
336	1902.797484
337	1900.214793
338	1898.729486
339	1897.680976
340	1896.518461
341	1895.258511
342	1893.808896
343	1893.087168
344	1891.994876
345	1891.425531
346	1890.239209
347	1889.831858
348	1888.085462
349	1887.318923
350	1884.232142
351	1882.28858
352	1881.294589
353	1879.462673
354	1875.941837
355	1874.936736
356	1873.658589
357	1872.955796
358	1872.508737
359	1871.498668
360	1870.222839
361	1868.584656
362	1867.36134
363	1866.744264
364	1865.662069
365	1864.471255
366	1863.667722
367	1862.562673
368	1861.581147
369	1860.527048
370	1859.970504
371	1858.035813
372	1856.915813
373	1855.143184
374	1854.325507
375	1853.466501
376	1851.595316
377	1850.619713
378	1850.051051
379	1848.55014
380	1847.963843
381	1846.862148
382	1846.273779
383	1844.745454
384	1843.854286
385	1843.022552
386	1841.057023
387	1839.667616
388	1838.064652
389	1837.356773
390	1836.581901
391	1835.845356
392	1833.729429
393	1832.657132
394	1831.002396
395	1829.945589
396	1829.042293
397	1828.435974
398	1827.331966
399	1826.225635
400	1825.337053
401	1823.3388
402	1822.59721
403	1822.023238
404	1821.260413
405	1819.82978
406	1818.151352
407	1816.452565
408	1815.727615
409	1815.1353
410	1814.507013
411	1814.096836
412	1813.435084
413	1811.478799
414	1810.635406
415	1809.000005
416	1808.035631
417	1807.574694
418	1806.811477
419	1805.934695
420	1804.271542
421	1803.357447
422	1802.65935
423	1801.963635
424	1800.955756
425	1799.169481
426	1798.485095
427	1797.782809
428	1797.035972
429	1795.911812
430	1794.244685
431	1793.484784
432	1792.231536
433	1791.513983
434	1790.088044
435	1789.153874
436	1788.509042
437	1787.530511
438	1786.480342
439	1786.032835
440	1785.298588
441	1784.850338
442	1784.226141
443	1783.534146
444	1781.87211
445	1781.320634
446	1780.712027
447	1780.074378
448	1779.419208
449	1778.816543
450	1778.159793
451	1777.418925
452	1776.774657
453	1775.062431
454	1774.060464
455	1773.319074
456	1772.653398
457	1772.262057
458	1771.710354
459	1770.985626
460	1770.471241
461	1769.371031
462	1767.001802
463	1766.022214
464	1765.404078
465	1764.401379
466	1763.727718
467	1761.909975
468	1761.056418
469	1760.491988
470	1759.716132
471	1759.099781
472	1758.251862
473	1757.289863
474	1756.714337
475	1755.759327
476	1753.864687
477	1752.199634
478	1751.700806
479	1750.533666
480	1749.549169
481	1748.629558
482	1747.73393
483	1746.143408
484	1745.414299
485	1744.395988
486	1743.635867
487	1743.152993
488	1741.833709
489	1741.339188
490	1739.902814
491	1739.265126
492	1738.250578
493	1736.227646
494	1735.341624
495	1734.742882
496	1734.397767
497	1733.647867
498	1732.755716
499	1731.34933
500	1730.742604
501	1729.735284
502	1728.678023
503	1727.855201
504	1727.083042
505	1726.526103
506	1726.260751
507	1725.381614
508	1724.629598
509	1724.042953
510	1723.052182
511	1722.111482
512	1721.465621
513	1721.054868
514	1719.755787
515	1719.145569
516	1718.394324
517	1717.895012
518	1717.354187
519	1716.28041
520	1715.716117
521	1715.09956
522	1714.328345
523	1713.499449
524	1712.996796
525	1711.993565
526	1711.510514
527	1710.571749
528	1709.820596
529	1709.398343
530	1706.847794
531	1706.451953
532	1705.028716
533	1703.876617
534	1702.838422
535	1701.229182
536	1700.290951
537	1699.377273
538	1698.136626
539	1697.518613
540	1696.483817
541	1695.035089
542	1693.905857
543	1692.308515
544	1691.44896
545	1691.091784
546	1690.579542
547	1688.24978
548	1687.519228
549	1686.973994
550	1685.672657
551	1685.151173
552	1684.057113
553	1682.557305
554	1681.792174
555	1681.300237
556	1680.824498
557	1679.189287
558	1678.500071
559	1676.353483
560	1675.968755
561	1675.624671
562	1675.153093
563	1674.487553
564	1673.523506
565	1672.988298
566	1672.677737
567	1672.062095
568	1671.25925
569	1670.287026
570	1669.767272
571	1668.990347
572	1668.144321
573	1667.854763
574	1665.965534
575	1665.048505
576	1664.682532
577	1664.160079
578	1663.446531
579	1662.103802
580	1661.074418
581	1660.144803
582	1659.346437
583	1659.025634
584	1658.288143
585	1657.655286
586	1655.852121
587	1654.33943
588	1653.757473
589	1652.782547
590	1651.74197
591	1650.888827
592	1650.200467
593	1649.722002
594	1648.946209
595	1648.413291
596	1647.113928
597	1646.566901
598	1645.934496
599	1645.684004
600	1644.850567
601	1643.706932
602	1643.281728
603	1642.109115
604	1641.379001
605	1640.861754
606	1639.327598
607	1638.817778
608	1637.98617
609	1637.034466
610	1636.352101
611	1635.834725
612	1634.226884
613	1633.871628
614	1633.735963
615	1633.199223
616	1632.647101
617	1632.07643
618	1631.214639
619	1629.921495
620	1629.362108
621	1629.001885
622	1628.114992
623	1627.361996
624	1626.878965
625	1626.327541
626	1625.927024
627	1624.684827
628	1624.113116
629	1623.601072
630	1622.520186
631	1621.914695
632	1621.419727
633	1620.997907
634	1620.311045
635	1619.714629
636	1619.338008
637	1618.769381
638	1618.337716
639	1617.469002
640	1616.812276
641	1616.209585
642	1615.809199
643	1615.362176
644	1613.897806
645	1613.262555
646	1612.165378
647	1611.565058
648	1610.684147
649	1610.024326
650	1609.296918
651	1608.764165
652	1607.611175
653	1606.998461
654	1606.520498
655	1606.182958
656	1605.402886
657	1604.827623
658	1604.214766
659	1603.512229
660	1603.186174
661	1602.358136
662	1601.700057
663	1600.598901
664	1600.059627
665	1599.61301
666	1599.167036
667	1598.730043
668	1598.372704
669	1597.963474
670	1597.560963
671	1597.080882
672	1596.604823
673	1595.898274
674	1595.337001
675	1594.720106
676	1594.163987
677	1593.613664
678	1593.170474
679	1592.832574
680	1592.571387
681	1591.7296
682	1591.305599
683	1590.32292
684	1590.024523
685	1589.710641
686	1589.203335
687	1588.456118
688	1587.651192
689	1586.79118
690	1585.802446
691	1585.406215
692	1584.281524
693	1583.439413
694	1582.556386
695	1582.062874
696	1581.429845
697	1580.980105
698	1580.083389
699	1579.323548
700	1578.892505
701	1578.005187
702	1576.219752
703	1575.904367
704	1575.472522
705	1574.728699
706	1574.248299
707	1573.597245
708	1573.390643
709	1572.766507
710	1571.944493
711	1571.845341
712	1570.229327
713	1569.422091
714	1568.87617
715	1568.179721
716	1567.664729
717	1567.026486
718	1566.650503
719	1565.854817
720	1565.085974
721	1564.718506
722	1563.934714
723	1563.257906
724	1562.432809
725	1562.002678
726	1561.226199
727	1560.518376
728	1559.916142
729	1558.970955
730	1558.573979
731	1558.106869
732	1557.579702
733	1556.623228
734	1555.279894
735	1555.107105
736	1554.472549
737	1554.27397
738	1553.275328
739	1552.524666
740	1552.132059
741	1551.848285
742	1551.178606
743	1550.617115
744	1550.257926
745	1549.726742
746	1549.136301
747	1548.113856
748	1547.535271
749	1545.9007
750	1545.230862
751	1543.811825
752	1543.354934
753	1542.732423
754	1542.37034
755	1541.920163
756	1540.942129
757	1539.270721
758	1538.623659
759	1538.169019
760	1537.690873
761	1536.449085
762	1535.812068
763	1535.239095
764	1534.618645
765	1533.156825
766	1532.525004
767	1532.157883
768	1531.818912
769	1531.116654
770	1530.515356
771	1529.893611
772	1529.13733
773	1528.244414
774	1527.069281
775	1526.464126
776	1525.079946
777	1524.684119
778	1523.795043
779	1522.154286
780	1521.552235
781	1520.544519
782	1519.798196
783	1519.449332
784	1518.71721
785	1518.321539
786	1517.51309
787	1516.719853
788	1516.4252
789	1515.102126
790	1514.311346
791	1513.683725
792	1512.566093
793	1511.7707
794	1511.154151
795	1510.742396
796	1508.982947
797	1508.436236
798	1507.843628
799	1507.265702
800	1506.991183
801	1506.147406
802	1505.46014
803	1504.870541
804	1504.325755
805	1503.529827
806	1503.184501
807	1502.712739
808	1502.205683
809	1501.656447
810	1501.496287
811	1501.116171
812	1500.646493
813	1500.528774
814	1500.185033
815	1500.014929
816	1498.919281
817	1498.121213
818	1497.61081
819	1497.267082
820	1496.59
821	1496.360599
822	1496.14472
823	1495.549626
824	1495.128726
825	1494.471161
826	1493.96504
827	1493.335126
828	1493.045961
829	1492.491571
830	1492.179398
831	1491.601856
832	1491.033155
833	1490.357274
834	1490.199195
835	1489.668102
836	1489.204396
837	1488.041914
838	1487.74614
839	1486.683075
840	1486.386225
841	1485.097653
842	1484.018619
843	1483.405427
844	1482.857974
845	1482.223391
846	1481.095564
847	1480.654737
848	1480.431918
849	1479.837776
850	1479.155247
851	1478.663949
852	1478.173967
853	1477.785751
854	1476.677552
855	1476.294169
856	1475.190038
857	1474.60488
858	1473.47347
859	1473.027829
860	1472.102667
861	1471.496797
862	1471.059396
863	1470.650568
864	1470.236932
865	1469.064752
866	1468.577027
867	1468.03279
868	1467.44811
869	1466.750856
870	1466.296503
871	1465.027732
872	1464.357734
873	1463.970151
874	1462.979531
875	1462.1352
876	1461.705997
877	1461.291338
878	1459.738644
879	1458.966619
880	1458.747131
881	1457.688248
882	1457.183061
883	1456.834429
884	1456.408473
885	1455.393837
886	1455.044965
887	1453.496743
888	1453.286323
889	1453.083315
890	1452.739271
891	1451.954223
892	1451.410809
893	1450.454245
894	1449.518236
895	1449.039605
896	1448.28286
897	1447.838536
898	1447.067701
899	1446.755882
900	1446.331432
901	1445.959699
902	1445.589449
903	1444.677179
904	1444.325342
905	1443.487382
906	1443.13373
907	1442.644507
908	1442.083307
909	1441.627908
910	1441.470905
911	1441.045253
912	1440.719808
913	1439.918643
914	1439.479068
915	1439.048851
916	1438.416324
917	1437.263848
918	1436.741421
919	1436.557648
920	1435.650943
921	1435.007126
922	1434.52268
923	1433.525359
924	1433.071117
925	1432.488467
926	1431.370093
927	1431.074697
928	1430.409163
929	1429.968442
930	1429.623602
931	1429.254097
932	1429.004053
933	1428.617827
934	1427.629625
935	1427.068695
936	1426.729858
937	1425.299532
938	1424.556064
939	1424.097301
940	1423.23945
941	1422.653108
942	1422.367267
943	1420.837295
944	1420.458435
945	1419.616903
946	1419.184755
947	1418.872659
948	1418.597973
949	1418.163339
950	1416.06599
951	1415.802143
952	1414.854775
953	1413.905063
954	1413.435528
955	1413.167988
956	1412.707975
957	1412.395646
958	1411.999017
959	1411.70031
960	1411.36606
961	1411.031611
962	1410.2726
963	1410.005403
964	1408.846616
965	1408.243099
966	1407.538294
967	1406.70485
968	1406.101061
969	1405.610215
970	1404.989274
971	1404.618874
972	1403.85483
973	1402.982689
974	1402.267975
975	1401.700914
976	1401.238242
977	1400.923426
978	1400.569883
979	1400.149357
980	1399.855755
981	1399.083573
982	1398.256642
983	1397.798082
984	1397.475393
985	1396.500502
986	1395.742468
987	1395.352427
988	1395.126081
989	1394.276151
990	1392.502733
991	1392.125727
992	1390.077751
993	1389.442819
994	1388.897415
995	1388.391656
996	1387.988531
997	1387.811716
998	1387.497736
999	1385.663535
